Golfer,Nation,Region,fairways,fairAtt,fairPct,totPutts,totRounds,avePutts,greenReg,totPrize,events,driveDist,sandSaves,sandAtt,sandPct
A Lim Kim,Republic of Korea,Asia,962,1395,68.96,3052,108,30.22,74.4,747851,29,274.74,43,95,45.26
Aditi Ashok,India,Asia,795,996,79.82,2104,79,29.22,63,178900,26,235.1,53,94,56.38
Agathe Laisne,France,Europe,412,561,73.44,1248,41,30.44,64.9,41937,18,254.66,29,62,46.77
Alana Uriell,United States,North America,510,729,69.96,1575,55,29.72,65.3,66506,21,269.51,43,95,45.26
Albane Valenzuela,Switzerland,Europe,756,1074,70.39,2376,81,30.46,70.7,340107,24,265.21,27,74,36.49
Alena Sharp,Canada,North America,302,422,71.56,923,35,29.77,70.1,95534,11,265.94,15,30,50.00
Alison Lee,United States,North America,817,1189,68.71,2539,89,29.52,70.6,688430,24,262.27,41,85,48.24
Allisen Corpuz,United States,North America,812,1005,80.80,2219,79,30.4,72.8,721135,24,252.92,41,70,58.57
Allison Emrey,United States,North America,503,714,70.45,1529,54,29.4,59.7,95854,20,247.01,36,77,46.75
Ally Ewing,United States,North America,721,922,78.20,2122,70,31.67,77.7,660511,21,265.46,23,57,40.35
Amanda Doherty,United States,North America,598,824,72.57,1765,64,29.42,65.7,219674,20,267.7,31,81,38.27
Amy Olson,United States,North America,560,802,69.83,1769,65,30.5,68.2,118865,23,259.64,40,94,42.55
Amy Yang,Republic of Korea,Asia,616,900,68.44,1925,65,29.62,72.4,439097,20,261.15,28,64,43.75
Ana Belac,Slovenia,Europe,512,692,73.99,1508,52,30.16,64.7,43755,19,255.02,28,68,41.18
Andrea Lee,United States,North America,801,923,86.78,1964,76,29.31,72.9,1102543,21,241.33,34,62,54.84
Angel Yin,United States,North America,591,999,59.16,2127,79,29.54,65,384589,25,267.15,47,88,53.41
Angela Stanford,United States,North America,402,579,69.43,1256,44,29.9,61.5,69917,19,255.86,24,61,39.34
Anna Nordqvist,Sweden,Europe,874,1077,81.15,2390,78,30.64,74.6,1064670,21,246.41,20,66,30.30
Annie Park,United States,North America,675,885,76.27,1960,70,30.63,68.9,204363,24,258.12,32,78,41.03
Ariya Jutanugarn,Thailand,Asia,828,1178,70.29,2549,90,29.99,70.5,405384,27,258.67,47,95,49.47
Ashleigh Buhai,South Africa,Africa,768,1006,76.34,2170,76,29.73,68.7,1553004,24,251.69,54,87,62.07
Atthaya Thitikul,Thailand,Asia,979,1325,73.89,2843,99,29.61,74.9,2193642,26,269.01,51,94,54.26
Ayaka Furue,Japan,Asia,1090,1297,84.04,2780,101,29.57,72.4,957831,27,248.65,47,101,46.53
Bianca Pagdanganan,Philippines,Asia,433,666,65.02,1470,50,30.63,66,116806,18,277.05,31,76,40.79
Brianna Do,United States,North America,291,386,75.39,847,30,30.25,62.5,51884,13,243.84,14,37,37.84
Brittany Altomare,United States,North America,875,1130,77.43,2442,87,29.78,69.8,368174,25,245.7,47,77,61.04
Brittany Lang,United States,North America,379,533,71.11,1166,41,29.9,64.1,83418,15,255.88,25,50,50.00
Brittany Lincicome,United States,North America,357,444,80.41,969,32,30.28,67.5,106812,11,258.72,22,36,61.11
Bronte Law,England,Europe,594,792,75.00,1738,57,30.49,67.9,461497,19,250.62,41,77,53.25
Brooke M. Henderson,Canada,North America,827,1048,78.91,2276,76,29.95,76.3,2413251,22,267.08,38,82,46.34
Brooke Matthews,United States,North America,296,468,63.25,1017,38,29.91,60.8,38182,15,275.28,11,33,33.33
Carlota Ciganda,Spain,Europe,729,1050,69.43,2261,79,29.75,71.5,826614,24,269.69,44,87,50.57
Caroline Inglis,United States,North America,524,633,82.78,1392,48,30.26,69.2,164798,17,245.11,28,50,56.00
Caroline Masson,Germany,Europe,724,919,78.78,2026,73,30.24,70.6,425919,24,246.45,39,81,48.15
Casey Danielson,United States,North America,415,538,77.14,1231,43,31.56,70.2,29513,17,255.06,12,37,32.43
Celine Boutier,France,Europe,869,1175,73.96,2513,86,29.56,73.9,1262754,24,254,32,74,43.24
Celine Herbin,France,Europe,283,398,71.11,884,33,30.48,67.6,31842,13,263.33,18,38,47.37
Charley Hull,England,Europe,548,757,72.39,1641,58,29.84,73,1084968,18,266.45,30,71,42.25
Charlotte Thomas,England,Europe,695,811,85.70,1757,61,29.78,64.8,108623,20,238.64,41,82,50.00
Chella Choi,Republic of Korea,Asia,990,1165,84.98,2506,87,29.83,72.5,642856,23,246.32,42,76,55.26
Cheyenne Knight,United States,North America,897,1075,83.44,2310,85,29.62,70.4,768975,24,245.28,38,91,41.76
Christina Kim,United States,North America,468,619,75.61,1367,47,30.38,64.3,27653,19,248.49,32,67,47.76
Cristie Kerr,United States,North America,254,396,64.14,852,33,29.38,63.4,58962,13,248.97,21,41,51.22
Cydney Clanton,United States,North America,434,690,62.90,1553,52,31.06,68.3,53553,19,267.36,27,61,44.26
Dana Fall,United States,North America,650,745,87.25,1617,56,29.94,67.1,101086,19,235.24,23,51,45.10
Daniela Darquea,Ecuador,South America,332,440,75.45,971,36,30.34,73.3,243096,11,263,19,35,54.29
Danielle Kang,United States,North America,650,843,77.11,1764,64,28.92,71.9,1039239,18,251.17,34,67,50.75
Dewi Weber,Netherlands,Europe,541,745,72.62,1671,58,30.94,70.1,137749,20,261.82,25,60,41.67
Elizabeth Szokol,United States,North America,281,410,68.54,915,37,30.5,70.6,131874,13,255.97,17,36,47.22
Emily Kristine Pedersen,Denmark,Europe,695,1010,68.81,2267,73,31.05,73.5,274345,22,274.67,40,84,47.62
Emma Talley,United States,North America,824,1077,76.51,2325,86,29.81,68.4,219367,27,246.57,48,93,51.61
Esther Henseleit,Germany,Europe,679,952,71.32,2089,72,30.28,68.7,224053,25,254.08,31,66,46.97
Eun-Hee Ji,Republic of Korea,Asia,689,913,75.47,1938,73,29.36,68.2,835642,19,258.13,42,75,56.00
Fatima Fernandez Cano,Spain,Europe,249,443,56.21,985,34,30.78,63.5,3185,17,261.41,21,50,42.00
Frida Kinhult,Sweden,Europe,678,963,70.40,2070,74,29.57,67.6,310284,22,263.86,39,92,42.39
Gaby Lopez,Mexico,North America,757,1077,70.29,2316,81,29.69,70.4,800239,24,264.42,46,92,50.00
Gemma Dryburgh,Scotland,Europe,896,1134,79.01,2413,89,29.43,67.1,662000,25,249.84,47,90,52.22
